               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.063141,           0.0062431,                   0,             0.75621,             0.76255,             0.78021,             0.33201,            0.074969,           0.0064789,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.063406,            0.006238,                   0,             0.75512,             0.76174,             0.77939,             0.33118,            0.074983,           0.0064817,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.062768,           0.0062561,                   0,             0.75413,             0.76082,             0.77847,             0.33095,            0.074974,           0.0064841,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.063003,           0.0061929,                   0,             0.75328,             0.76033,             0.77727,             0.33015,            0.074953,           0.0064855,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.063228,           0.0062886,                   0,             0.75302,             0.75947,              0.7766,             0.32967,            0.074964,            0.006488,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.062967,           0.0062157,                   0,             0.75222,             0.75904,             0.77535,             0.32925,            0.074991,           0.0064888,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.062525,           0.0062171,                   0,             0.75061,             0.75732,             0.77395,             0.32956,            0.074994,           0.0064891,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.062701,           0.0061996,                   0,             0.75029,             0.75669,             0.77317,             0.32895,            0.075006,           0.0064889,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.062239,           0.0061799,                   0,             0.74898,             0.75565,              0.7721,             0.32818,            0.075006,            0.006488,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.062168,           0.0061537,                   0,             0.74923,              0.7558,              0.7723,              0.3274,            0.075003,           0.0064877,                   0,            0.005149,            0.005149,            0.005149
                 149,             0.06244,           0.0061884,                   0,             0.74822,             0.75532,             0.77149,             0.32654,            0.075008,           0.0064869,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.062186,           0.0062042,                   0,             0.74746,             0.75435,             0.77023,              0.3262,            0.075005,           0.0064868,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.062298,           0.0062414,                   0,              0.7481,             0.75498,             0.77114,             0.32582,            0.075009,           0.0064891,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.062249,           0.0062473,                   0,             0.74606,             0.75318,             0.76944,             0.32499,            0.075024,           0.0064902,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.062115,           0.0062106,                   0,             0.74483,             0.75175,             0.76843,             0.32521,            0.075041,           0.0064923,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.062088,           0.0062078,                   0,             0.74387,             0.75067,             0.76783,             0.32446,             0.07503,           0.0064942,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.061776,           0.0062164,                   0,             0.74336,             0.74997,             0.76639,             0.32503,             0.07502,           0.0064969,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.061896,           0.0061437,                   0,              0.7417,             0.74838,             0.76502,             0.32465,            0.075018,            0.006495,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.061721,           0.0061946,                   0,             0.74217,             0.74857,             0.76615,             0.32495,             0.07503,           0.0064945,                   0,            0.004852,            0.004852,            0.004852
                 158,             0.06206,           0.0061832,                   0,             0.74233,             0.74861,             0.76591,              0.3245,            0.075021,           0.0064971,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.061368,           0.0061145,                   0,             0.74186,             0.74842,             0.76604,             0.32437,            0.075012,           0.0064996,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.061302,           0.0061647,                   0,              0.7408,             0.74754,             0.76566,              0.3244,            0.075009,           0.0064997,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.061338,           0.0061401,                   0,             0.74156,              0.7483,             0.76605,             0.32511,            0.074988,           0.0065007,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.061575,           0.0061896,                   0,              0.7415,             0.74805,             0.76546,             0.32495,            0.074971,           0.0065019,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.061777,           0.0061771,                   0,             0.74131,             0.74802,             0.76585,             0.32379,            0.074961,           0.0065058,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.061178,           0.0061681,                   0,             0.74178,             0.74849,             0.76607,              0.3235,            0.074962,           0.0065067,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.060958,           0.0061887,                   0,                0.74,             0.74705,             0.76508,             0.32263,            0.074932,           0.0065086,                   0,            0.004588,            0.004588,            0.004588
